seed,baseline_kappa,optimized_kappa,kappa_improvement,quadratic_baseline_kappa,quadratic_optimized_kappa,quadratic_kappa_improvement,linear_baseline_kappa,linear_optimized_kappa,linear_kappa_improvement,val_kappa,baseline_accuracy,optimized_accuracy,baseline_mae,optimized_mae,within_one_baseline,within_one_optimized,pearson_recovery,spearman_recovery,cat_proportions,recovered_thresholds,status,config
49,0.8359375,0.851063829787234,0.01512632978723405,0.8359375,0.851063829787234,0.01512632978723405,0.7566393046837276,0.7605700712589073,0.003930766575179656,0.8887673569270128,0.8055555555555556,0.8055555555555556,0.19444444444444445,0.19444444444444445,1.0,1.0,0.9303298220916021,0.9403177053186701,"(0.38, 0.199, 0.227, 0.194)","(1.943, 2.486, 3.301)",ok,reference
50,0.8842781998831093,0.8600311041990669,-0.024247095684042375,0.8842781998831093,0.8600311041990669,-0.024247095684042375,0.8258575197889182,0.7717666948436179,-0.054090824945300264,0.9149555857935695,0.8472222222222222,0.7916666666666666,0.1527777777777778,0.20833333333333334,1.0,1.0,0.9527703629644816,0.9578429480995563,"(0.385, 0.205, 0.219, 0.191)","(1.992, 2.422, 3.097)",ok,reference
51,0.8644918444165621,0.9260020554984584,0.06151021108189625,0.8644918444165621,0.9260020554984584,0.06151021108189625,0.752808988764045,0.8346727898966705,0.08186380113262548,0.8697107339230218,0.7083333333333334,0.7777777777777778,0.3055555555555556,0.2222222222222222,0.9861111111111112,1.0,0.9548850414492677,0.95420927390829,"(0.389, 0.191, 0.208, 0.212)","(1.989, 2.609, 3.135)",ok,reference
52,0.7317282889079966,0.8686770428015564,0.13694875389355987,0.7317282889079966,0.8686770428015564,0.13694875389355987,0.5766621438263229,0.7674418604651163,0.19077971663879345,0.8820976144417322,0.6388888888888888,0.7916666666666666,0.3611111111111111,0.20833333333333334,1.0,1.0,0.9428569794234699,0.9406714258151652,"(0.377, 0.203, 0.226, 0.195)","(2.047, 2.68, 3.162)",ok,reference
53,0.7948410317936413,0.8509498295177789,0.05610879772413757,0.7948410317936413,0.8509498295177789,0.05610879772413757,0.6943699731903485,0.7439330543933054,0.04956308120295683,0.8879363997391975,0.7361111111111112,0.7638888888888888,0.2638888888888889,0.2361111111111111,1.0,1.0,0.9436906099083868,0.9333397646150879,"(0.375, 0.2, 0.232, 0.193)","(2.011, 2.592, 3.167)",ok,reference
54,0.7,0.6944444444444444,-0.005555555555555536,0.7,0.6944444444444444,-0.005555555555555536,0.5877862595419847,0.5308056872037914,-0.056980572338193314,0.9091793216452166,0.7083333333333334,0.6944444444444444,0.2916666666666667,0.3055555555555556,1.0,1.0,0.8984368549982955,0.9014406071129978,"(0.378, 0.201, 0.228, 0.193)","(2.122, 2.46, 3.056)",ok,reference
55,0.7082872928176795,0.7130521421454666,0.004764849327787091,0.7082872928176795,0.7130521421454666,0.004764849327787091,0.5973563802745296,0.5656108597285068,-0.031745520546022865,0.9003318474868438,0.6944444444444444,0.6666666666666666,0.3055555555555556,0.3333333333333333,1.0,1.0,0.9264155585223459,0.9137243552640043,"(0.38, 0.204, 0.221, 0.194)","(2.013, 2.499, 3.254)",ok,reference
56,0.8051282051282052,0.8495575221238938,0.04442931699568864,0.8051282051282052,0.8495575221238938,0.04442931699568864,0.7009182334936599,0.7510170870626526,0.050098853568992685,0.8914538732697103,0.7361111111111112,0.7638888888888888,0.2638888888888889,0.2361111111111111,1.0,1.0,0.9079148377658632,0.8996076918129785,"(0.383, 0.194, 0.214, 0.209)","(1.957, 2.59, 3.161)",ok,reference
57,0.7988077496274217,0.9318578916715201,0.13305014204409837,0.7988077496274217,0.9318578916715201,0.13305014204409837,0.6330275229357798,0.8537956888472352,0.22076816591145543,0.9141728577931045,0.5833333333333334,0.8194444444444444,0.4166666666666667,0.18055555555555555,1.0,1.0,0.9477798548834024,0.9262331982764167,"(0.386, 0.195, 0.215, 0.203)","(2.084, 2.459, 3.227)",ok,reference
58,0.7653767820773931,0.7880886426592798,0.022711860581886678,0.7653767820773931,0.7880886426592798,0.022711860581886678,0.6764044943820224,0.68125,0.004845505617977586,0.9042141923915418,0.7777777777777778,0.7638888888888888,0.2222222222222222,0.2361111111111111,1.0,1.0,0.894660106051285,0.9028233326902053,"(0.383, 0.198, 0.217, 0.202)","(1.934, 2.611, 3.299)",ok,reference
59,0.7849462365591398,0.8165137614678899,0.031567524908750144,0.7849462365591398,0.8165137614678899,0.031567524908750144,0.672280382339554,0.6929637526652452,0.02068337032569123,0.8878185951896613,0.7222222222222222,0.7222222222222222,0.2777777777777778,0.2777777777777778,1.0,1.0,0.9031293848054838,0.9030484275516111,"(0.385, 0.198, 0.219, 0.198)","(1.979, 2.485, 3.274)",ok,reference
60,0.828726778432261,0.8911806543385491,0.06245387590628815,0.828726778432261,0.8911806543385491,0.06245387590628815,0.7058365758754863,0.7851123595505618,0.07927578367507548,0.8945184386119062,0.7083333333333334,0.7638888888888888,0.2916666666666667,0.2361111111111111,1.0,1.0,0.9470921978176928,0.9487105280082322,"(0.382, 0.203, 0.217, 0.199)","(2.022, 2.563, 3.145)",ok,reference
61,0.7653806047966631,0.8831168831168831,0.11773627832021993,0.7653806047966631,0.8831168831168831,0.11773627832021993,0.6504854368932038,0.8070444104134763,0.15655897352027248,0.883402736466389,0.6944444444444444,0.8194444444444444,0.3194444444444444,0.19444444444444445,0.9861111111111112,0.9861111111111112,0.9229484728225674,0.9158788346517461,"(0.385, 0.192, 0.227, 0.197)","(1.975, 2.476, 3.174)",ok,reference
